id,advertiserId,advertiserName,postId,text,media,type,html,timestampPosted,timestampParsed,privacy,createdAt,updatedAt,candidateParty,views,url,like,love,haha,wow,sad,angry,comments,shares,interests,links
1682645,156656398155,Primavera Sound,10156118257783156,#PrimaveraUnchained Tickets: http://bit.ly/ticketsPS18,https://scontent-vie1-1.xx.fbcdn.net/v/t1.0-1/p100x100/22688828_10155855140343156_2107482115521785122_n.jpg?oh=ffc2f955be19fc161f90cc802b05a054&oe=5B218C11;https://scontent-vie1-1.xx.fbcdn.net/v/t31.0-8/27173995_10156118251693156_5088435990943876773_o.png?oh=1ff60edd3c6ed6a40b26bb2ccc894f05&oe=5AEAEAD1,,,,2018-01-29T14:07:07.258Z,Öffentlich,2018-01-29T14:07:27.749Z,2018-01-29T14:07:27.749Z,,,https://facebook.com/10156118257783156,55000,8300,,3000,,,8300,7600,Noisey;Primavera Sound;Stereogum
1775490,234218833769558,ESL One,313928149131959,Kicking off ESL One Katowice 2018 with the first day of groups here on the main stream! OG vs. ViCi Gaming Mineski-Dota vs. Complexity Gaming LGD-Gaming vs. Evil Geniuses... Natus Vincere vs. Fnatic Winner UB Quarter #1 vs. Winner UB Quarter #2 Winner UB Quarter #3 vs. Winner UB Quarter #4 See more,blob:https://www.facebook.com/dfef410c-5d20-40ab-93cb-3fc6c0f164d6;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p50x50/26815008_298158917375549_6034695524123644414_n.jpg?oh=47bd6f946fa83b32052c841c0b82aa42&oe=5B129BA3;https://static.xx.fbcdn.net/rsrc.php/v3/yH/r/puB1EBEFl5T.png;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/27861786_314824995708941_4901742799356952576_n.jpg?oh=e718b5a3d63044d41d64b0206f9a046a&oe=5B4E6DF4;https://scontent-dub4-1.xx.fbcdn.net/v/t15.0-10/27861786_314824995708941_4901742799356952576_n.jpg?oh=e718b5a3d63044d41d64b0206f9a046a&oe=5B4E6DF4;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-0/s180x540/21731372_243744286150346_6459480406276574926_n.png?oh=c3351b4eccdc2e2d0fd93687843efe6f&oe=5B1EBD8D;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/20228533_10158931899485304_4159644174857741083_n.jpg?oh=e74b583fbc12b341ee651af0cbaf21f5&oe=5B063786,,,,2018-02-20T16:00:46.675Z,Public,2018-02-20T16:01:21.315Z,2018-02-20T16:01:21.315Z,,,https://facebook.com/313928149131959,52000,2200,,947,,,9196,2000,
501531,100858346620905,Udemy,1829197917120264,"80% Off | The Ultimate Drawing Course - Beginner to Advanced;Over 37,000 students enrolled!;This 11-hour online course was designed to teach beginners the fundamentals of drawing -- from human faces and figures to realistic light and shadows. New to Udemy? Enroll today for a special discount!",https://scontent.fvie2-1.fna.fbcdn.net/v/t1.0-1/p32x32/14717285_1355206027852791_6693951318786797132_n.jpg?oh=fb8dc60cd96c745f8e6594509722aee1&oe=5A4085B2;https://scontent.fvie2-1.fna.fbcdn.net/v/t45.1600-4/p476x249/21271851_6093596572819_242040279215898624_n.png?oh=7c9818f8c917a058ccd810d48c8bf281&oe=5A415207;https://scontent.fvie2-1.fna.fbcdn.net/v/t1.0-1/p32x32/16266022_1344267892303160_5766787292800043864_n.jpg?oh=8ece17cc3dc40824b638cbcefa0e0ed5&oe=5A48A055,,,,2017-10-05T11:21:16.891Z,Public,2017-10-10T22:09:17.399Z,2017-10-10T22:09:17.399Z,,,https://facebook.com/1829197917120264,47000,1100,,281,,,841,1900,Dibujo;Drawing;Zeichnen,http://shoo.ly/2jse8Ft?ks=5079&prof=424&cid=132818817&url%5B0%5D=https%3A%2F%2Fwww.udemy.com%2Fcoupon%2Fdec%2F55d10301-a51d-45db-b5d2-98226e371b4d%2F%3Futm_source%3Dfacebook-row%26utm_medium%3Dudemyads%26utm_campaign%3DNEW-FB-PROS-NONP-ROW-Design-ALLDrawi;http://shoo.ly/2jse8Ft?ks=5079&prof=424&cid=132818817&url%5B0%5D=https%3A%2F%2Fwww.udemy.com%2Fcoupon%2Fdec%2F55d10301-a51d-45db-b5d2-98226e371b4d%2F%3Futm_source%3Dfacebook-row%26utm_medium%3Dudemyads%26utm_campaign%3DNEW-FB-PROS-NONP-ROW-Design-ALLDrawi;http://shoo.ly/2jse8Ft?ks=5079&prof=424&cid=132818817&url%5B0%5D=https%3A%2F%2Fwww.udemy.com%2Fcoupon%2Fdec%2F55d10301-a51d-45db-b5d2-98226e371b4d%2F%3Futm_source%3Dfacebook-row%26utm_medium%3Dudemyads%26utm_campaign%3DNEW-FB-PROS-NONP-ROW-Design-ALLDrawi;http://shoo.ly/2jse8Ft?ks=5079&prof=424&cid=132818817&url%5B0%5D=https%3A%2F%2Fwww.udemy.com%2Fcoupon%2Fdec%2F55d10301-a51d-45db-b5d2-98226e371b4d%2F%3Futm_source%3Dfacebook-row%26utm_medium%3Dudemyads%26utm_campaign%3DNEW-FB-PROS-NONP-ROW-Design-ALLDrawi
66129,687589164666184,MasterClass,1432391563519270,James Patterson Teaches Writing;Learn every part of his book writing process.;Author of 19 consecutive #1 New York Times best-sellers reveals his tricks of the trade.Übersetzung anzeigen,https://scontent-frt3-2.xx.fbcdn.net/v/t1.0-1/p32x32/11218752_833692573389175_8439642485307522335_n.jpg?oh=e0f7bfd4e643f6f026894c64206f274d&oe=5A5FC279;https://scontent-frt3-2.xx.fbcdn.net/v/t45.1600-4/p476x249/18341350_6088038396020_8338966261186691072_n.png?oh=36cfbec86c6b9e9156276f67533e1bdb&oe=5A52CA58;https://scontent-frt3-2.xx.fbcdn.net/v/t1.0-1/p32x32/15350645_1371837756167830_3246072092682573901_n.jpg?oh=bcc600561d76d24385a23c32bdff053f&oe=5A18E25D,,,,2017-09-08T14:24:36.692Z,Öffentlich,2017-09-08T14:25:18.148Z,2017-09-08T14:25:18.148Z,,,https://facebook.com/1432391563519270,45000,2400,,585,,,2100,9100,,
1731736,235006520242439,Call Me By Your Name,358348011241622,"You could win a trip to celebrate with the Call Me By Your Name cast at their pre-Oscar party! Donations to win benefit two incredible causes, enter HERE: http://bit.ly/Timothée-Armie-YOU",blob:https://www.facebook.com/0b5fd2f4-c8c5-42b2-99ba-20448f9ea1ee;https://scontent-vie1-1.xx.fbcdn.net/v/t1.0-1/p100x100/22489904_322902028119554_6191798449660195483_n.png?oh=37e70ab18c4e55b0647b725efd801c25&oe=5B21E240;https://scontent-vie1-1.xx.fbcdn.net/v/t15.0-10/27405741_358348597908230_5843034248629452800_n.jpg?oh=e97a8243b4ccdd2fe5c8aff8f68bf38f&oe=5ADD59E3;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,,,,2018-02-09T21:13:21.779Z,Public,2018-02-09T21:14:21.523Z,2018-02-09T21:14:21.523Z,,,https://facebook.com/358348011241622,33000,12000,1100,,,,6100,4300,Academy Awards;Berlin International Film Festival;Gay Pride;Independent-Film;LGBT;LGBT community;Oscar;Oscar/Bestes Originaldrehbuch;Tony Award;Toronto International Film Festival;Troye Sivan,
1754424,51752540096,Rockstar Games,10156084470340097,"The Vapid Hustler A shining example of what''s possible when old-world glamour slinks up next to the modern muscle car and asks \""My garage or yours?\"" Now at Legendary Motorsport in GTA Online... http://rsg.ms/88375a1 See more",https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/19598590_10155342859745097_5625982245151244814_n.png?oh=1f049d7296c545b208507e67a64bde3c&oe=5B0D62E8;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-0/s480x480/27658005_10156084470185097_51359724649829653_n.jpg?oh=b908c41f683ddab046833cf8583fec16&oe=5B0F2E21;https://scontent-dub4-1.xx.fbcdn.net/v/t1.0-1/p32x32/20228533_10158931899485304_4159644174857741083_n.jpg?oh=e74b583fbc12b341ee651af0cbaf21f5&oe=5B063786,,,,2018-02-15T12:50:20.371Z,Custom,2018-02-15T12:51:21.425Z,2018-02-15T12:51:21.425Z,,,https://facebook.com/10156084470340097,27000,2300,704,,,,3400,3200,,
1682877,156656398155,Primavera Sound,10156118056323156,#PrimaveraUnchained Tickets: http://bit.ly/ticketsPS18,blob:https://www.facebook.com/18196087-d90a-4580-be14-0ce1fed1848c;https://scontent-vie1-1.xx.fbcdn.net/v/t1.0-1/p50x50/22688828_10155855140343156_2107482115521785122_n.jpg?oh=4b2eccc25ffe11050ee99d96f2dfacc5&oe=5B216165;https://scontent-vie1-1.xx.fbcdn.net/v/t15.0-10/p720x720/27248795_10156118094993156_4121635850591141888_n.jpg?oh=b175f52aec9a729466958d685c280298&oe=5B1AE396;https://scontent-vie1-1.xx.fbcdn.net/v/t15.0-10/p720x720/27248795_10156118094993156_4121635850591141888_n.jpg?oh=b175f52aec9a729466958d685c280298&oe=5B1AE396;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://scontent-vie1-1.xx.fbcdn.net/v/t1.0-1/c0.8.32.32/p32x32/1621989_718914398143401_275825352_n.jpg?oh=3c0ff7303b2b771b68b47f0847efda67&oe=5AE5430C,,,,2018-01-29T14:45:32.518Z,Öffentlich,2018-01-29T14:46:28.928Z,2018-01-29T14:46:28.928Z,,,https://facebook.com/10156118056323156,14000,2900,,785,,,1800,4900,Noisey;npr music;Primavera Sound,
1579659,1469058796650970,Annie Leibovitz,10155930318848664,"Annie Leibovitz Teaches Photography;I am excited to announce, my MasterClass on photography is now live! masterclass.com/al",blob:https://www.facebook.com/99d0e611-ecaf-864d-a708-f708036d0c84;https://scontent-vie1-1.xx.fbcdn.net/v/t1.0-1/p32x32/25158307_2013459065544271_6368658946118894598_n.jpg?oh=6791782cc93d8e1883972d88cc68ad0a&oe=5AD080D6;https://scontent-vie1-1.xx.fbcdn.net/v/t15.0-10/p720x720/24541316_10155930318908664_3685457015166992384_n.jpg?oh=d45b7830a2762e9b20dbfef0ee2324ec&oe=5AD3758B;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://scontent-vie1-1.xx.fbcdn.net/v/t1.0-1/p32x32/25289436_1564312816979978_6231093464539337520_n.jpg?oh=ad6af2efdc2bd8a4fa066d44c3d03c8b&oe=5AB0FCF5,,,,2017-12-20T08:56:57.159Z,Öffentlich,2017-12-20T08:57:25.800Z,2017-12-20T08:57:25.800Z,,,https://facebook.com/10155930318848664,13000,1700,,280,,,993,1800,,
872996,487571865601,Happy Socks,1413623675422784,Get in the groove with The Beatles limited edition collection!  Available now! 👉 www.HappySocks.com/TheBeatles,blob:https://www.facebook.com/ca0579c5-2068-4e89-a797-6a7de5240f06;https://scontent-vie1-1.xx.fbcdn.net/v/t1.0-1/p50x50/22519407_10159542061555602_6543507968936038428_n.png?oh=e692f72b202184d071c5089b571b1b51&oe=5A61FD37;https://www.facebook.com/images/emoji.php/v9/f51/1/16/1f449.png;https://scontent-vie1-1.xx.fbcdn.net/v/t15.0-10/22731718_1413623685422783_4136188045898547200_n.jpg?oh=21fe458820233e92be2c6cd1dbc073cf&oe=5A80F6A6;https://www.facebook.com/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://www.facebook.com/rsrc.php/v3/y-/r/1z7Sk4QRFjY.png;https://www.facebook.com/rsrc.php/v3/y-/r/1z7Sk4QRFjY.png,,,,2017-10-25T05:23:41.454Z,Öffentlich,2017-10-25T05:24:19.941Z,2017-10-25T05:24:19.941Z,,,https://facebook.com/1413623675422784,9600,955,,253,,,2400,1700,The Beatles,
1660222,687589164666184,MasterClass,10156023261243664,Ron Howard Deconstructs Directing;The two-time Oscar winner demystifies the craft of directing.;Some call it “movie magic.” Director Ron Howard calls it a teachable craft.,blob:https://www.facebook.com/1c81e197-152c-a140-81c6-51852972ce05;https://scontent-vie1-1.xx.fbcdn.net/v/t1.0-1/p100x100/11218752_833692573389175_8439642485307522335_n.jpg?oh=dc643ea617237016aa76cfc2b6c73fe2&oe=5AF0B378;https://scontent-vie1-1.xx.fbcdn.net/v/t15.0-10/24594655_10156023261398664_3936646098709381120_n.jpg?oh=cea382b59810d513a96a0deb037abc31&oe=5AF8EB2B;https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif;https://scontent-vie1-1.xx.fbcdn.net/v/t1.0-1/p100x100/22406485_10154746709451854_2821891735081782313_n.jpg?oh=1eba04f9ace90247632731807aa8fcdf&oe=5AF14195,,,,2018-01-19T09:15:56.665Z,Öffentlich,2018-01-19T09:16:27.305Z,2018-01-19T09:16:27.305Z,,,https://facebook.com/10156023261243664,6900,951,,152,,,666,1000,British Film Institute;Visual effects,
